id,brand,choice,fash,qual,price,female,age25,age39,age40,time
1,1,0,0,0,.12,1,0,1,0,1
1,2,1,1,0,.12,1,0,1,0,1
1,3,0,0,1,.079999998,1,0,1,0,1
1,4,0,0,0,0,1,0,1,0,1
1,1,1,1,1,.12,1,0,1,0,2
1,2,0,0,1,.12,1,0,1,0,2
1,3,0,1,0,.12,1,0,1,0,2
1,4,0,0,0,0,1,0,1,0,2
1,1,0,0,1,.079999998,1,0,1,0,3
1,2,0,1,1,.2,1,0,1,0,3
1,3,1,1,0,.079999998,1,0,1,0,3
1,4,0,0,0,0,1,0,1,0,3
1,1,0,0,0,.079999998,1,0,1,0,4
1,2,1,0,1,.16,1,0,1,0,4
1,3,0,1,1,.2,1,0,1,0,4
1,4,0,0,0,0,1,0,1,0,4
1,1,1,0,0,.039999999,1,0,1,0,5
1,2,0,1,0,.12,1,0,1,0,5
1,3,0,1,0,.079999998,1,0,1,0,5
1,4,0,0,0,0,1,0,1,0,5
1,1,0,0,0,.079999998,1,0,1,0,6
1,2,0,0,1,.12,1,0,1,0,6
1,3,1,1,0,.079999998,1,0,1,0,6
1,4,0,0,0,0,1,0,1,0,6
1,1,0,1,1,.2,1,0,1,0,7
1,2,1,0,0,.079999998,1,0,1,0,7
1,3,0,0,1,.079999998,1,0,1,0,7
1,4,0,0,0,0,1,0,1,0,7
1,1,0,0,1,.079999998,1,0,1,0,8
1,2,1,1,0,.12,1,0,1,0,8
1,3,0,0,0,.039999999,1,0,1,0,8
1,4,0,0,0,0,1,0,1,0,8
2,1,0,0,0,.12,0,1,0,0,1
2,2,0,1,0,.12,0,1,0,0,1
2,3,1,0,1,.079999998,0,1,0,0,1
2,4,0,0,0,0,0,1,0,0,1
2,1,1,1,1,.12,0,1,0,0,2
2,2,0,0,1,.12,0,1,0,0,2
2,3,0,1,0,.12,0,1,0,0,2
2,4,0,0,0,0,0,1,0,0,2
2,1,1,0,1,.079999998,0,1,0,0,3
2,2,0,1,1,.2,0,1,0,0,3
2,3,0,1,0,.079999998,0,1,0,0,3
2,4,0,0,0,0,0,1,0,0,3
2,1,1,0,0,.079999998,0,1,0,0,4
2,2,0,0,1,.16,0,1,0,0,4
2,3,0,1,1,.2,0,1,0,0,4
2,4,0,0,0,0,0,1,0,0,4
2,1,0,0,0,.039999999,0,1,0,0,5
2,2,0,1,0,.12,0,1,0,0,5
2,3,0,1,0,.079999998,0,1,0,0,5
2,4,1,0,0,0,0,1,0,0,5
2,1,0,0,0,.079999998,0,1,0,0,6
2,2,1,0,1,.12,0,1,0,0,6
2,3,0,1,0,.079999998,0,1,0,0,6
2,4,0,0,0,0,0,1,0,0,6
2,1,0,1,1,.2,0,1,0,0,7
2,2,0,0,0,.079999998,0,1,0,0,7
2,3,1,0,1,.079999998,0,1,0,0,7
2,4,0,0,0,0,0,1,0,0,7
2,1,0,0,1,.079999998,0,1,0,0,8
2,2,0,1,0,.12,0,1,0,0,8
2,3,0,0,0,.039999999,0,1,0,0,8
2,4,1,0,0,0,0,1,0,0,8
3,1,0,0,0,.12,1,0,0,1,1
3,2,0,1,0,.12,1,0,0,1,1
3,3,1,0,1,.079999998,1,0,0,1,1
3,4,0,0,0,0,1,0,0,1,1
3,1,1,1,1,.12,1,0,0,1,2
3,2,0,0,1,.12,1,0,0,1,2
3,3,0,1,0,.12,1,0,0,1,2
3,4,0,0,0,0,1,0,0,1,2
3,1,0,0,1,.079999998,1,0,0,1,3
3,2,1,1,1,.2,1,0,0,1,3
3,3,0,1,0,.079999998,1,0,0,1,3
3,4,0,0,0,0,1,0,0,1,3
3,1,1,0,0,.079999998,1,0,0,1,4
3,2,0,0,1,.16,1,0,0,1,4
3,3,0,1,1,.2,1,0,0,1,4
3,4,0,0,0,0,1,0,0,1,4
3,1,1,0,0,.039999999,1,0,0,1,5
3,2,0,1,0,.12,1,0,0,1,5
3,3,0,1,0,.079999998,1,0,0,1,5
3,4,0,0,0,0,1,0,0,1,5
3,1,0,0,0,.079999998,1,0,0,1,6
3,2,1,0,1,.12,1,0,0,1,6
3,3,0,1,0,.079999998,1,0,0,1,6
3,4,0,0,0,0,1,0,0,1,6
3,1,0,1,1,.2,1,0,0,1,7
3,2,0,0,0,.079999998,1,0,0,1,7
3,3,1,0,1,.079999998,1,0,0,1,7
3,4,0,0,0,0,1,0,0,1,7
3,1,1,0,1,.079999998,1,0,0,1,8
3,2,0,1,0,.12,1,0,0,1,8
3,3,0,0,0,.039999999,1,0,0,1,8
3,4,0,0,0,0,1,0,0,1,8
4,1,0,0,0,.12,0,0,0,1,1
4,2,0,1,0,.12,0,0,0,1,1
4,3,1,0,1,.079999998,0,0,0,1,1
4,4,0,0,0,0,0,0,0,1,1
4,1,0,1,1,.12,0,0,0,1,2
4,2,0,0,1,.12,0,0,0,1,2
4,3,0,1,0,.12,0,0,0,1,2
4,4,1,0,0,0,0,0,0,1,2
4,1,1,0,1,.079999998,0,0,0,1,3
4,2,0,1,1,.2,0,0,0,1,3
4,3,0,1,0,.079999998,0,0,0,1,3
4,4,0,0,0,0,0,0,0,1,3
4,1,0,0,0,.079999998,0,0,0,1,4
4,2,1,0,1,.16,0,0,0,1,4
4,3,0,1,1,.2,0,0,0,1,4
4,4,0,0,0,0,0,0,0,1,4
4,1,1,0,0,.039999999,0,0,0,1,5
4,2,0,1,0,.12,0,0,0,1,5
4,3,0,1,0,.079999998,0,0,0,1,5
4,4,0,0,0,0,0,0,0,1,5
4,1,0,0,0,.079999998,0,0,0,1,6
4,2,1,0,1,.12,0,0,0,1,6
4,3,0,1,0,.079999998,0,0,0,1,6
4,4,0,0,0,0,0,0,0,1,6
4,1,1,1,1,.2,0,0,0,1,7
4,2,0,0,0,.079999998,0,0,0,1,7
4,3,0,0,1,.079999998,0,0,0,1,7
4,4,0,0,0,0,0,0,0,1,7
4,1,1,0,1,.079999998,0,0,0,1,8
4,2,0,1,0,.12,0,0,0,1,8
4,3,0,0,0,.039999999,0,0,0,1,8
4,4,0,0,0,0,0,0,0,1,8
5,1,0,0,0,.12,0,0,0,1,1
5,2,0,1,0,.12,0,0,0,1,1
5,3,1,0,1,.079999998,0,0,0,1,1
5,4,0,0,0,0,0,0,0,1,1
5,1,1,1,1,.12,0,0,0,1,2
5,2,0,0,1,.12,0,0,0,1,2
5,3,0,1,0,.12,0,0,0,1,2
5,4,0,0,0,0,0,0,0,1,2
5,1,1,0,1,.079999998,0,0,0,1,3
5,2,0,1,1,.2,0,0,0,1,3
5,3,0,1,0,.079999998,0,0,0,1,3
5,4,0,0,0,0,0,0,0,1,3
5,1,0,0,0,.079999998,0,0,0,1,4
5,2,0,0,1,.16,0,0,0,1,4
5,3,1,1,1,.2,0,0,0,1,4
5,4,0,0,0,0,0,0,0,1,4
5,1,0,0,0,.039999999,0,0,0,1,5
5,2,0,1,0,.12,0,0,0,1,5
5,3,0,1,0,.079999998,0,0,0,1,5
5,4,1,0,0,0,0,0,0,1,5
5,1,0,0,0,.079999998,0,0,0,1,6
5,2,1,0,1,.12,0,0,0,1,6
5,3,0,1,0,.079999998,0,0,0,1,6
5,4,0,0,0,0,0,0,0,1,6
5,1,0,1,1,.2,0,0,0,1,7
5,2,0,0,0,.079999998,0,0,0,1,7
5,3,1,0,1,.079999998,0,0,0,1,7
5,4,0,0,0,0,0,0,0,1,7
5,1,1,0,1,.079999998,0,0,0,1,8
5,2,0,1,0,.12,0,0,0,1,8
5,3,0,0,0,.039999999,0,0,0,1,8
5,4,0,0,0,0,0,0,0,1,8
6,1,0,0,0,.12,1,1,0,0,1
6,2,1,1,0,.12,1,1,0,0,1
6,3,0,0,1,.079999998,1,1,0,0,1
6,4,0,0,0,0,1,1,0,0,1
6,1,0,1,1,.12,1,1,0,0,2
